id,prestacion_Id_id,codCIE10_Id_id
630,NM031370,T17.2
631,NM031372,C02.4
632,NM031372,C09.0
633,NM031372,C09.8
634,NM031372,C09.9
635,NM031372,C11.1
636,NM031372,C14.2
637,NM031372,D00.0
638,NM031372,D10.4
639,NM031372,D10.6
640,NM031372,D37.0
641,NM031372,J03.9
642,NM031372,J35.0
643,NM031372,J35.1
644,NM031372,J35.2
645,NM031372,J35.3
646,NM031372,J35.8
647,NM031372,J35.9
648,NM031372,J36
649,NM031372,T17.2
650,NM050170,Q67.6
651,NM060170,D48.6
652,NM060170,N60.0
653,NM060170,N63
654,NM060170,R92
655,NM060170,R93.8
656,NM060170,Z12.3
657,NM060170,Z85.3
658,NM060172,D48.6
659,NM060172,N60.0
660,NM060172,N63
661,NM060172,R92
662,NM060172,R93.8
663,NM060172,Z12.3
664,NM060172,Z85.3
665,NM060174,D48.6
666,NM060174,N60.0
667,NM060174,N63
668,NM060174,R92
669,NM060174,R93.8
670,NM060174,Z12.3
671,NM060174,Z85.3
672,NM070201,Q20.0
673,NM070201,Q20.1
674,NM070201,Q20.2
675,NM070201,Q20.3
676,NM070201,Q20.4
677,NM070201,Q20.5
678,NM070201,Q20.6
679,NM070201,Q20.8
680,NM070201,Q20.9
681,NM070201,Q21.0
682,NM070201,Q21.1
683,NM070201,Q21.2
684,NM070201,Q21.3
685,NM070201,Q21.8
686,NM070201,Q21.9
687,NM070201,Q22.0
688,NM070201,Q22.1
689,NM070201,Q22.2
690,NM070201,Q22.3
691,NM070201,Q22.4
692,NM070201,Q22.5
693,NM070201,Q22.6
694,NM070201,Q22.8
695,NM070201,Q22.9
696,NM070201,Q23.0
697,NM070201,Q23.1
698,NM070201,Q23.2
699,NM070201,Q23.3
700,NM070201,Q23.4
701,NM070201,Q23.8
702,NM070201,Q23.9
703,NM070201,Q24.2
704,NM070201,Q24.3
705,NM070201,Q24.4
706,NM070201,Q24.5
707,NM070201,Q24.9
708,NM070201,Q25.1
709,NM070201,Q25.2
710,NM070201,Q25.4
711,NM070201,Q25.5
712,NM070201,Q25.6
713,NM070201,Q25.7
714,NM070201,Q26.2
715,NM070201,Q26.4
716,NM070201,Q89.3
717,NM070202,Q20.0
718,NM070202,Q20.1
719,NM070202,Q20.2
720,NM070202,Q20.3
721,NM070202,Q20.4
722,NM070202,Q20.5
723,NM070202,Q20.6
724,NM070202,Q20.8
725,NM070202,Q20.9
726,NM070202,Q21.0
727,NM070202,Q21.1
728,NM070202,Q21.2
729,NM070202,Q21.3
730,NM070202,Q21.8
731,NM070202,Q21.9
732,NM070202,Q22.0
733,NM070202,Q22.1
734,NM070202,Q22.2
735,NM070202,Q22.3
736,NM070202,Q22.4
737,NM070202,Q22.5
738,NM070202,Q22.6
739,NM070202,Q22.8
740,NM070202,Q22.9
741,NM070202,Q23.0
742,NM070202,Q23.1
743,NM070202,Q23.2
744,NM070202,Q23.3
745,NM070202,Q23.4
746,NM070202,Q23.8
747,NM070202,Q23.9
748,NM070202,Q24.2
749,NM070202,Q24.3
750,NM070202,Q24.4
751,NM070202,Q24.5
752,NM070202,Q24.9
753,NM070202,Q25.1
754,NM070202,Q25.2
755,NM070202,Q25.4
756,NM070202,Q25.5
757,NM070202,Q25.6
758,NM070202,Q25.7
759,NM070202,Q26.2
760,NM070202,Q26.4
761,NM070202,Q89.3
762,NM070203,I05.0
763,NM070203,I05.1
764,NM070203,I05.2
765,NM070203,I05.8
766,NM070203,I05.9
767,NM070203,I06.0
768,NM070203,I06.1
769,NM070203,I06.2
770,NM070203,I06.9
771,NM070203,I07.0
772,NM070203,I07.1
773,NM070203,I07.2
774,NM070203,I07.8
775,NM070203,I07.9
776,NM070203,I09.1
777,NM070203,I33.0
778,NM070203,I34.0
779,NM070203,I34.1
780,NM070203,I34.2
781,NM070203,I34.8
782,NM070203,I34.9
783,NM070203,I35.0
784,NM070203,I35.1
785,NM070203,I35.2
786,NM070203,I35.8
787,NM070203,I35.9
788,NM070203,I36.0
789,NM070203,I36.1
790,NM070203,I36.2
791,NM070203,I36.8
792,NM070203,I36.9
793,NM070203,I37.0
794,NM070203,I37.1
795,NM070203,I37.2
796,NM070203,I37.8
797,NM070203,I37.9
798,NM070203,I38
799,NM070203,I39.0
800,NM070203,I39.1
801,NM070203,I39.2
802,NM070203,I39.3
803,NM070203,I39.8
804,NM070203,I42.4
805,NM070203,Q22.0
806,NM070203,Q22.1
807,NM070203,Q22.2
808,NM070203,Q22.3
809,NM070203,Q22.4
810,NM070203,Q22.5
811,NM070203,Q22.8
812,NM070203,Q22.9
813,NM070203,Q23.0
814,NM070203,Q23.1
815,NM070203,Q23.2
816,NM070203,Q23.3
817,NM070203,Q23.8
818,NM070203,Q23.9
819,NM070203,Q24.3
820,NM070203,Q24.8
821,NM070203,Q25.5
822,NM070203,Q25.6
823,NM070203,Q25.7
824,NM070203,T82.0
825,NM070203,T82.6
826,NM070203,T82.8
827,NM070203,T82.9
828,NM070204,I08.0
829,NM070204,I08.1
830,NM070204,I08.2
831,NM070204,I08.3
832,NM070204,I08.8
833,NM070204,I08.9
834,NM070205,I08.0
835,NM070205,I08.1
836,NM070205,I08.2
837,NM070205,I08.3
838,NM070205,I08.8
839,NM070205,I08.9
840,NM070206,I23.1
841,NM070206,I23.2
842,NM070206,I51.0
843,NM070206,I63.1
844,NM070206,I63.4
845,NM070206,I63.9
846,NM070206,I66.9
847,NM070206,Q20.3
848,NM070206,Q20.4
849,NM070206,Q20.8
850,NM070206,Q21.0
851,NM070206,Q21.1
852,NM070206,Q21.2
853,NM070206,Q21.8
854,NM070206,Q21.9
855,NM070207,I71.2
856,NM070208,I71.1
857,NM070208,I71.2
858,NM070208,I71.3
859,NM070208,I71.4
860,NM070208,I71.5
861,NM070208,I71.6
862,NM070208,I71.8
863,NM070208,I71.9
864,NM070208,I79.0
865,NM070208,Q25.4
866,NM070209,I20.0
867,NM070209,I20.9
868,NM070209,I21.0
869,NM070209,I21.1
870,NM070209,I21.2
871,NM070209,I21.3
872,NM070209,I21.4
873,NM070209,I21.9
874,NM070209,I22.0
875,NM070209,I22.1
876,NM070209,I22.9
877,NM070209,I24.0
878,NM070209,I24.9
879,NM070209,I25.1
880,NM070209,I25.2
881,NM070209,I25.5
882,NM070209,I25.6
883,NM070209,I25.9
884,NM070209,Q24.5
885,NM070209,T82.2
886,NM070210,I20.0
887,NM070210,I20.9
888,NM070210,I21.0
889,NM070210,I21.1
890,NM070210,I21.2
891,NM070210,I21.3
892,NM070210,I21.4
893,NM070210,I21.9
894,NM070210,I22.0
895,NM070210,I22.1
896,NM070210,I22.9
897,NM070210,I24.0
898,NM070210,I24.9
899,NM070210,I25.1
900,NM070210,I25.2
901,NM070210,I25.5
902,NM070210,I25.6
903,NM070210,I25.9
904,NM070210,Q24.5
905,NM070210,T82.2
906,NM070371,I50.0
907,NM070371,I50.1
908,NM070371,A48.3
909,NM070371,O08.3
910,NM070371,O75.1
911,NM070371,R57.0
912,NM070371,R57.1
913,NM070371,R57.2
914,NM070371,R57.9
915,NM070371,T78.2
916,NM070371,T79.4
917,NM070371,T80.5
918,NM070371,T81.1
919,NM070371,T88.2
920,NM070670,I83.0
921,NM070670,I83.1
922,NM070670,I83.2
923,NM070670,I83.9
924,NM070670,I85.0
925,NM070670,I85.9
926,NM070670,I86.0
927,NM070670,I86.1
928,NM070670,I86.2
929,NM070670,I86.3
930,NM070670,I86.4
931,NM070670,I86.8
932,NM070670,I98.2
933,NM070670,K64.0
934,NM070670,K64.1
935,NM070670,K64.2
936,NM070670,K64.3
937,NM070670,K64.9
938,NM070670,O87.2
939,NM070703,I20.0
940,NM070703,I20.9
941,NM070703,I21.0
942,NM070703,I21.1
943,NM070703,I21.2
944,NM070703,I21.3
945,NM070703,I21.4
946,NM070703,I21.9
947,NM070703,I22.0
948,NM070703,I22.1
949,NM070703,I22.9
950,NM070703,I24.0
951,NM070703,I24.9
952,NM070703,I25.1
953,NM070703,I25.2
954,NM070703,I25.5
955,NM070703,I25.6
956,NM070703,I25.9
957,NM070703,Q24.5
958,NM070703,T82.2
959,NM070703,A41.9
